now,train,to_code,hops,sched_arr,baseline,railcast_arr,lo_arr,hi_arr,act_arr
697.1711194833106,12925-Slip,NDLS,26,2080.0,2080.0,2175.7222194332226,2144.7092742452373,2206.311802650473,2159.204769684909
727.1711194833106,12925-Slip,NDLS,25,2080.0,2080.0,2175.6262084846476,2145.4226211148984,2207.3679135253087,2159.204769684909
757.1711194833106,12925-Slip,NDLS,24,2080.0,2080.0,2131.4636024915844,2102.4090261031356,2170.2887611776046,2159.204769684909
787.1711194833106,12925-Slip,NDLS,24,2080.0,2091.2985354432994,2146.167557795066,2108.902411202181,2177.8155510537326,2159.204769684909
817.1711194833106,12925-Slip,NDLS,24,2080.0,2101.955431248674,2158.134387040549,2113.9240868388415,2187.616044307053,2159.204769684909
847.1711194833106,12925-Slip,NDLS,23,2080.0,2107.33758628564,2162.536106651897,2111.365391789569,2190.041547542077,2159.204769684909
877.1711194833106,12925-Slip,NDLS,23,2080.0,2117.0925197596407,2140.920355760593,2094.106125914789,2167.8972019125185,2159.204769684909
907.1711194833106,12925-Slip,NDLS,22,2080.0,2129.893391007644,2152.140505628556,2108.7334579064373,2179.730945004245,2159.204769684909
937.1711194833106,12925-Slip,NDLS,22,2080.0,2125.5917486272665,2156.07817004876,2106.9615172871354,2183.3150747738264,2159.204769684909
967.1711194833106,12925-Slip,NDLS,21,2080.0,2152.1029116749523,2159.6577173282813,2114.038472819816,2186.792148568975,2159.204769684909
997.1711194833106,12925-Slip,NDLS,21,2080.0,2176.551394101389,2136.8007887746103,2102.1044069882537,2166.860514549877,2159.204769684909
1027.1711194833106,12925-Slip,NDLS,20,2080.0,2188.55553904888,2126.7597763693666,2095.385274881709,2158.8563104673285,2159.204769684909
1057.1711194833106,12925-Slip,NDLS,20,2080.0,2201.437827959837,2151.190660223494,2119.079180603458,2193.6749976040837,2159.204769684909
1087.1711194833106,12925-Slip,NDLS,19,2080.0,2214.3451504011728,2136.1073668828426,2103.096781704935,2179.7123504380447,2159.204769684909
1117.1711194833106,12925-Slip,NDLS,19,2080.0,2224.1545465079234,2128.2398310011145,2095.1918494635265,2168.4836383939196,2159.204769684909
1147.1711194833106,12925-Slip,NDLS,18,2080.0,2228.575242619784,2130.875213997728,2097.820519028195,2171.8866423812215,2159.204769684909
1177.1711194833106,12925-Slip,NDLS,18,2080.0,2218.625083034016,2130.1474407323562,2094.8444696554343,2169.380098971242,2159.204769684909
1207.1711194833106,12925-Slip,NDLS,18,2080.0,2233.541571065218,2143.8347591885977,2110.004346827691,2187.0716694879557,2159.204769684909
1237.1711194833106,12925-Slip,NDLS,17,2080.0,2230.9058757172334,2134.927366274072,2100.786577996237,2174.2880909065434,2159.204769684909
1267.1711194833106,12925-Slip,NDLS,17,2080.0,2224.8533086190773,2147.4041557678393,2110.773140920945,2182.559007880551,2159.204769684909
1297.1711194833106,12925-Slip,NDLS,17,2080.0,2226.208104824147,2162.2651262266927,2124.16615795935,2194.895226308404,2159.204769684909
1327.1711194833106,12925-Slip,NDLS,16,2080.0,2231.5443804861825,2169.275481500081,2130.560480890114,2199.685502216527,2159.204769684909
1357.1711194833106,12925-Slip,NDLS,16,2080.0,2238.9668412268593,2164.079355810895,2126.0588807374033,2192.254525521841,2159.204769684909
1387.1711194833106,12925-Slip,NDLS,15,2080.0,2241.5022767044006,2169.58302011502,2131.819779113101,2194.930913736304,2159.204769684909
1417.1711194833106,12925-Slip,NDLS,14,2080.0,2251.924320282474,2149.258601991813,2116.3104954363866,2174.0211977322997,2159.204769684909
